Company,Applicants,Title,Abstract,Industry,Patents_number,Prescore,Date_of_latest_publication,AI_score,Recommendation,Lead_Message,rag_cases,web_context,Website,LinkedIn
BICKERSTAFF III GEORGE WILLIAM,BICKERSTAFF III GEORGE WILLIAM,Optimized Personalized Advisor Digital Twin Training Engine for Wealth Management,"An optimized personalized advisor digital twin training engine employs a custom-configured LSTM neural network and BERT-based natural language processing to create advisor-specific digital twins, simulating real-time client interactions in wealth management. Adaptive refinement using a proprietary Q-learning-based reinforcement learning algorithm ensures at least 95% behavioral accuracy with latency below 5 milliseconds, while proprietary rule-based templates embed financial compliance requirements. Delivered via a Moodle-compatible HTML5 platform with performance analytics achieving at least 90% scoring accuracy, and logged in a Corda blockchain with a custom protocol for auditability, the system enhances training effectiveness and supports cross-firm scalability as of Dec. 2, 2025.",Investment Banking,1,100,2025-12-02,6,"Potential fit, but unclear outsourcing needs and no strong RAG matches.",,[],,https://www.mmdillon.com,https://www.linkedin.com/company/mmdillon
IMPACTIVE AL,IMPACTIVE AL,METHOD AND APPARATUS FOR CONTROLLING PRODUCTION LINES BASED ON PREDICTION OF PRODUCT LIFETIME TOTAL SALES VOLUME THROUGH HYBRID MACHINE LEARNING MODEL,"A method and an apparatus for controlling production lines based on prediction of a product lifetime total sales volume through a hybrid machine learning model. The method may include: constructing a first model on the basis of modeling data in a machine learning model; constructing a second model on the basis of product lifespan information predicted by the first model and the modeling data in the machine learning model; predicting a lifetime lifespan of test data and creating lifetime lifespan prediction data by inputting the test data into the first model; predicting a lifetime total sales volume by inputting the lifetime lifespan prediction data and the test data into the second model; and transmitting a control signal to the production lines, such that a production volume of a new product is directly controlled, in real time, based on the predicted lifetime total sales volume.",Software Development,1,100,2025-12-02,4,"Relevant industry match, but unclear outsourcing potential due to existing technology stack and recent acquisition.",,[],,https://www.impactive.io,https://www.linkedin.com/company/impactive-io
MISSIONOVO,MISSIONOVO LLC,ANOMALY DETECTION TOOL,"Tool detects anomalies in textual data and determines event sequences normality against broader data. Representative event samples are gathered for source, and a top-level wordpiece tokenizer is built. Tokenizer is serialized and stored. Additional samples are gathered, and encodings pulled from inputs via the tokenizer. For a given variable, the algorithm either polls encodings in groups of time steps or pads encodings up to these time steps. A square matrix of observations is created, whose basis is expanded with a random matrix and added dimensions. The basis is expanded via a random projection. The matrices are then passed to a variational autoencoder. To minimize information loss when sending encodings to compressed latent space, stochastic subgradient methods are used. Upon convergence, the trained model is saved. Observed errors are bootstrapped on the holdout set. If new events fall outside tolerances set via bootstrap series is declared anomalous.","Technology, Information and Internet",1,95,2025-04-29,6,"Relevant industry match, but unclear outsourcing potential. No strong RAG matches found.",,[],,https://www.missionovo.com,https://www.linkedin.com/company/missionovo
BHAN VAIBHAV,BHAN VAIBHAV,MACHINE LEARNING LARGE LANGUAGE MODEL ENSEMBLE DEPLOYMENT IN CONTENT SUMMARIZATION,"System and method generating a summarization of text content, performed in a machine learning neural network large language model (LLM) ensemble. The method comprises inputting text content that includes an unstructured text dataset to a trained baseline LLM. The LLM ensemble includes the trained baseline LLM, a trained classification LLM, and multiple finetuned LLMs. Generating, based on performing natural language processing tasks, a baseline summary of the text content based on the trained baseline LLM, and a classification of topics of the text context via the trained classification LLM. Generating respective finetuned LLM summaries of the text based upon inputting the text content to the multiple finetuned LLMs. Determining, based on a semantic similarity analysis, respective text semantic similarity measures across the baseline summary compared to the finetuned LLM summaries. And generating a summarization of the text content for a topic based on the similarity measures.",Retail,1,95,2025-05-12,4,"Relevant industry match, but unclear outsourcing potential and no strong RAG case similarity.",,[],,https://www.vaibhavglobal.com,https://www.linkedin.com/company/vaibhav-global-limited
MF GENIUS,MF GENIUS CORP,"SYSTEM AND METHOD FOR OPTIMIZING HVAC SYSTEMS IN LARGE INSTITUTIONS USING WIRELESS PRESENCE DATA, SCHEDULING DATA, AND PREDICTIVE ANALYTICS","Systems and methods for optimizing HVAC systems in large institutions are provided. Various embodiments of the technology provide systems and methods for determining and predicting building occupancy more accurately and in real-time to enhance energy usage and occupant comfort. Embodiments include a system and method that uses existing Wi-Fi infrastructure to collect wireless presence data, processes this data in a cloud-based environment, and employs machine learning algorithms to forecast occupancy. The system integrates scheduling data and can also incorporate CO2 sensor data to refine these predictions and dynamically adjust HVAC set points via the BACnet protocol.",Technology,1,95,2025-09-15,6,"Relevant industry and basic tech match, but unclear outsourcing potential. No strong RAG matches.",,[],,https://www.degreeanalytics.com,https://www.linkedin.com/company/degree-analytics
ZUMEDIA,ZUMEDIA INC,SMART WEARABLE ELECTRIC DEVICES AND METHODS FOR COMMUNICATION,"The present disclosure relates to wireless smart-phone and communication device that can be controlled through voice commands and embedded with software for a number of functionalities. The smart-phone device can comprise biometric and environmental sensors to enable the device to collect information regarding the user and the surrounding environment, infer a user's emotional state, and respond with adaptive actions. The smart-phone device can respond to voice commands, access databases through internet connectivity, and create a novel communication stream that informs both the wearer and those around them.",Design Work,1,95,2025-08-27,4,Maybe; relevant industry but unclear outsourcing potential for software development services.,,[],,https://zumedia.sg,
MACALUSO ANTHONY,MACALUSO ANTHONY,VEHICLE ENERGY MANAGEMENT OVER A WIRELESS NETWORK,"The disclosure is directed to methods and systems for provisioning mobile electric vehicles with various operational settings data transmitted over the air. A vehicle or its components may operate according to operational settings corresponding to operational settings data included in the vehicle components. A server that is remote to the vehicle may comprise operational settings data and may transmit operational settings data to the vehicle. The server may transmit operational settings data automatically, such as on a periodic basis, in response to a request, such as from a user or from a vehicle component or anytime new or updated operational settings data are available for the vehicle or its components.",Environmental Engineering,1,95,2025-09-08,6,"Relevant industry match with potential tech needs, but unclear outsourcing potential and no strong RAG case similarity.",,[],,https://www.hughestoolcompany.com,https://www.linkedin.com/company/hughes-tool-company
LEPTUDE,LEPTUDE INC,HYBRID NEURAL ARCHITECTURE FOR DATA PROCESSING COMBINING MATMUL-FREE TECHNIQUES AND SPIKING NEURAL NETWORKS,"A hybrid neural network architecture is disclosed that integrates matrix multiplication-free (MatMul-free) transformation layers with spiking neural network (SNN) layers for efficient, low-power computation. The system includes an interface module configured to convert intermediate continuous-valued data from MatMul-free layers into a spike-compatible format using encoding techniques such as rate coding, phase coding, or threshold-based conversion. The SNN layers process the spike-encoded data in an event-driven manner, enabling sparse, temporal inference. Training is supported by a hybrid optimization strategy combining backpropagation in MatMul-free components with surrogate gradient descent or spike-timing-dependent plasticity (STDP) in SNN layers. The architecture reduces computational complexity, supports real-time adaptability, and enables deployment in energy-constrained environments such as edge devices and neuromorphic platforms. The system may be implemented in hardware, software, or a co-designed pipeline optimized for dynamic sensor data, control signals, or continuous inference tasks.",Fashion,1,95,2025-06-25,4,"Leotude operates in the fashion industry with a focus on e-commerce and sustainability. While there is some alignment with tech development needs, the lack of a strong similarity to RAG cases and the absence of advanced tech stacks like Python or AI indicates a lower potential for software development services.",,[],,https://leotude.com,https://www.linkedin.com/company/leotude
COLBAUGH KATHERINE E,COLBAUGH KATHERINE E,CRYSTAL GROWTH MACHINE LEARNING SYSTEM,"A system for crystal growth optimization includes a plurality of sensors integrated into crystal growth equipment for continuous monitoring and data collection, a data acquisition device for receiving data from the sensors, a computing system for storing and processing the received data, a machine learning algorithm implemented on the computing system for analyzing the received data and predicting process improvements, and a user interface for displaying real-time data, process trends, root-cause analysis of defects, and suggested process improvements. The sensors may include various types such as viscometers, pH meters, thermometers, and imaging sensors. The machine learning algorithm may be selected from Linear Regression, Logistic Regression, Neural Network, and Decision Tree algorithms. The system enables automated adjustments of crystal growth parameters and utilizes historical and crowdsourced data to enhance prediction accuracy across different materials and growth conditions.",Geotechnical Engineering,1,95,2025-05-08,3,"Some industry match, but no clear tech development needs or similarity to RAG cases.",,[],,https://www.eca-geo.com/,https://www.linkedin.com/company/evans-colbaugh-associates-inc/
CHEONG LARRY LIM KHENG,CHEONG LARRY LIM KHENG,"Wearable AI Assistant with Predictive Buffering, Multi-Modal Contextual Input, and Privacy-Guarded Ambient Learning","The invention introduces a Total Wave structure of the Modified Schrödinger Equation (MSE) that deterministically governs quantum collapse using co-evolving field-specific wave-functions. Unlike conventional quantum mechanics, which treats wavefunction collapse as a postulated or probabilistic phenomenon, this invention models collapse as a structured outcome of wave interference from multiple physical fields—electromagnetic, gravitational, strong nuclear, and weak nuclear—each governed by its own nonlinear MSE.The system wavefunction Ψp evolves under the influence of these field-specific observer waves Ψj, and collapse occurs when the total interference term exceeds a defined threshold. This model supports not only collapse but also resonance (sub-threshold wave alignment) and non-collapse (persistent superposition), forming a tri-state mechanism of existence.The Total Wave MSE formalism applies to quantum hardware design, computation, sensing, and AI-guided control. By treating collapse as an engineered interference event, the invention enables deterministic reality selection across multiple domains. It extends the scope of earlier MSE patents and proposes that this structure represents a scalable, tunable, and physically grounded Theory of Everything (TOE).",Real Estate Services,1,95,2025-05-22,2,Poor fit; no clear tech development needs or similarity to RAG cases.,,[],,ttll.etnet.com.hk,
